Nuclei	Parent Energy Level(keV)	Energy(keV)	Intensity (per 100 disintegrations) 	Source
44Ti	0	67.8679	93	γ(1,0) (Sc)
44Ti	0	78.3234	96.4	γ(2,0) (Sc)
60Co	0	1173.228	99.85	γ(3,1) (Ni)
60Co	0	1332.492	99.9826	γ(1,0) (Ni)
137Cs	0	661.657	84.99	γ(2,0) (Ba)
133Ba	0	80.9979	33.31	γ(1,0) (Cs)
133Ba	0	276.3989	7.13	γ(4,2) (Cs)
133Ba	0	302.8508	18.31	γ(3,1) (Cs)
133Ba	0	356.0129	62.05	γ(4,1) (Cs)
133Ba	0	383.8485	8.94	γ(3,0) (Cs)
22Na	0	511	180.76	E-e+ annihilation
22Na	0	1274.537	99.94	γ(1,0) (Ne)
241Am	0	26.3446	2.31	γ(2,1) (Np)
241Am	0	59.5409	35.92	γ(2,0) (Np)
68Ge	0	9.225	13.25	Xray: kα2 (Ga)
68Ge	0	9.252	25.74	Xray: kα1 (Ga)
68Ge	0	10.26	5.65	Xray: kβ1 (Ga)
40K 	0	1460.822	10.55	γ(1,0) (Ar)
152Eu	0	121.7817	28.41	γ(1,0) (Sm)
152Eu	0	244.6974	7.55	γ(2,1) (Sm)
152Eu	0	344.2785	26.59	γ(1,0) (Gd)
152Eu	0	411.1165	2.238	γ(3,1) (Gd)
152Eu	0	443.965 	2.8	γ(13,) (Sm)
152Eu	0	778.9045	12.97	γ(7,1)(Gd)
152Eu	0	867.38  	4.243	γ(10,) (Sm)
152Eu	0	964.079 	14.5	γ(9,1) (Sm)
152Eu	0	1085.837	10.13	γ(9,0) (Sm)
152Eu	0	1089.737	1.73	γ(11,) (Gd)
152Eu	0	1112.076	13.41	γ(10,) (Sm)
152Eu	0	1212.948	1.416	γ(14,) (Sm)
152Eu	0	1299.142	1.633	γ(14,) (Gd)
152Eu	0	1408.013	20.85	γ(13,) (Sm)
Obtained from http://www.nucleide.org/DDEP_WG/Nuclides/*				
And www.nndc.bnl.gov/nudat2/				
